series_id,activity
0,fall
1,fall
2,fall
3,fall
4,fall
5,fall
6,fall
7,fall
8,fall
9,fall
10,fall
11,fall
12,fall
13,fall
14,fall
15,fall
16,fall
17,fall
18,fall
19,fall
20,fall
21,fall
22,fall
23,fall
24,fall
25,fall
26,fall
27,fall
28,fall
29,fall
30,fall
31,fall
32,fall
33,fall
34,fall
35,fall
36,fall
37,fall
38,fall
39,fall
40,fall
41,fall
42,fall
43,fall
44,fall
45,fall
46,fall
47,fall
48,fall
49,fall
50,fall
51,fall
52,fall
53,fall
54,fall
55,fall
56,fall
57,fall
58,fall
59,fall
60,fall
61,fall
62,fall
63,fall
64,fall
65,fall
66,fall
67,fall
68,fall
69,fall
70,fall
71,fall
72,fall
73,fall
74,fall
75,fall
76,fall
77,fall
78,fall
79,fall
80,fall
81,fall
82,fall
83,fall
84,fall
85,fall
86,fall
87,fall
88,fall
89,fall
90,fall
91,fall
92,fall
93,fall
94,fall
95,fall
96,fall
97,fall
98,fall
99,fall
100,fall
101,fall
102,fall
103,fall
104,fall
105,fall
106,fall
107,fall
108,fall
109,fall
110,fall
111,fall
112,fall
113,fall
114,fall
115,fall
116,fall
117,fall
118,fall
119,fall
120,fall
121,fall
122,fall
123,fall
124,fall
125,fall
126,fall
127,fall
128,fall
129,fall
130,fall
131,fall
132,fall
133,fall
134,fall
135,fall
136,fall
137,fall
138,fall
139,fall
140,fall
141,fall
142,fall
143,fall
144,fall
145,fall
146,fall
147,fall
148,fall
149,fall
150,fall
151,fall
152,fall
153,fall
154,fall
155,fall
156,fall
157,fall
158,fall
159,fall
160,fall
161,fall
162,fall
163,fall
164,fall
165,fall
166,fall
167,fall
168,fall
169,fall
170,fall
171,fall
172,fall
173,fall
174,fall
175,fall
176,fall
177,fall
178,fall
179,fall
180,fall
181,fall
182,fall
183,fall
184,fall
185,fall
186,fall
187,fall
188,fall
189,fall
190,fall
191,fall
192,fall
193,fall
194,fall
195,fall
196,fall
197,fall
198,fall
199,fall
200,fall
201,fall
202,fall
203,fall
204,fall
205,fall
206,fall
207,fall
208,fall
209,fall
210,fall
211,fall
212,fall
213,fall
214,fall
215,fall
216,fall
217,fall
218,fall
219,fall
220,fall
221,fall
222,fall
223,fall
224,fall
225,fall
226,fall
227,fall
228,fall
229,fall
230,fall
231,fall
232,fall
233,fall
234,fall
235,fall
236,fall
237,fall
238,fall
239,fall
240,fall
241,fall
242,fall
243,fall
244,fall
245,fall
246,fall
247,fall
248,fall
249,fall
250,fall
251,fall
252,fall
253,fall
254,fall
255,fall
256,fall
257,fall
258,fall
259,fall
260,fall
261,fall
262,fall
263,fall
264,fall
265,fall
266,fall
267,fall
268,fall
269,fall
270,fall
271,fall
272,fall
273,fall
